W,gaussian,lorentzian
-5.0,0.0,5.747394033080328e-5
-4.995,0.0,5.776222763997749e-5
-4.99,0.0,5.805328928778671e-5
-4.985,0.0,5.834716638066703e-5
-4.98,0.0,5.864390085218651e-5
-4.975,0.0,5.894353548407992e-5
-4.97,0.0,5.924611392794092e-5
-4.965,0.0,5.955168072757692e-5
-4.96,0.0,5.986028134206854e-5
-4.955,0.0,6.017196216954264e-5
-4.95,0.0,6.048677057168962e-5
-4.945,0.0,6.0804754899069195e-5
-4.94,0.0,6.112596451720122e-5
-4.935,0.0,6.145044983350792e-5
-4.93,0.0,6.1778262325103e-5
-4.925,0.0,6.210945456749864e-5
-4.92,0.0,6.244408026422136e-5
-4.915,0.0,6.278219427741612e-5
-4.91,0.0,6.312385265943142e-5
-4.905,0.0,6.346911268547876e-5
-4.9,0.0,6.381803288733431e-5
-4.895,0.0,6.41706730882043e-5
-4.89,0.0,6.452709443873244e-5
-4.885,0.0,6.488735945424419e-5
-4.88,0.0,6.525153205323406e-5
-4.875,0.0,6.561967759718054e-5
-4.87,0.0,6.599186293172689e-5
-4.865,0.0,6.636815642927543e-5
-4.86,0.0,6.674862803307404e-5
-4.855,0.0,6.713334930283048e-5
-4.85,0.0,6.752239346193608e-5
-4.845,0.0,6.791583544635862e-5
-4.84,0.0,6.83137519552744e-5
-4.835,0.0,6.871622150350878e-5
-4.83,0.0,6.912332447586397e-5
-4.825,0.0,6.953514318342328e-5
-4.82,0.0,6.995176192188959e-5
-4.815,0.0,7.037326703208408e-5
-4.81,0.0,7.079974696265523e-5
-4.805,0.0,7.12312923351309e-5
-4.8,0.0,7.166799601138992e-5
-4.795,0.0,7.21099531636798e-5
-4.79,0.0,7.255726134727164e-5
-4.785,0.0,7.301002057588919e-5
-4.78,0.0,7.34683334000238e-5
-4.775,0.0,7.393230498826901e-5
-4.77,0.0,7.440204321181379e-5
-4.765,0.0,7.487765873223766e-5
-4.76,0.0,7.535926509275047e-5
-4.755,0.0,7.584697881305382e-5
-4.75,0.0,7.634091948797928e-5
-4.745,0.0,7.684120989007966e-5
-4.74,0.0,7.734797607636585e-5
-4.735,0.0,7.786134749939716e-5
-4.73,0.0,7.838145712289304e-5
-4.725,0.0,7.890844154213578e-5
-4.72,0.0,7.944244110936654e-5
-4.715,0.0,7.998360006441626e-5
-4.71,0.0,8.053206667084043e-5
-4.705,0.0,8.108799335783371e-5
-4.7,0.0,8.165153686819107e-5
-4.695,0.0,8.222285841264492e-5
-4.69,0.0,8.28021238308936e-5
-4.685,0.0,8.338950375964157e-5
-4.68,0.0,8.398517380803974e-5
-4.675,0.0,8.458931474089555e-5
-4.67,0.0,8.520211267005692e-5
-4.665,0.0,8.582375925441599e-5
-4.66,0.0,8.645445190892593e-5
-4.655,0.0,8.709439402324466e-5
-4.65,0.0,8.774379519034294e-5
-4.645,0.0,8.840287144578771e-5
-4.64,0.0,8.907184551814767e-5
-4.635,0.0,8.97509470912399e-5
-4.63,0.0,9.044041307879584e-5
-4.625,0.0,9.114048791227831e-5
-4.62,0.0,9.185142384257688e-5
-4.615,0.0,9.257348125639321e-5
-4.61,0.0,9.330692900812083e-5
-4.605,0.0,9.405204476812874e-5
-4.6,0.0,9.480911538842758e-5
-4.595,0.0,9.557843728670847e-5
-4.59,0.0,9.63603168498476e-5
-4.585,0.0,9.715507085803481e-5
-4.58,0.0,9.796302693081107e-5
-4.575,0.0,9.878452399627436e-5
-4.57,0.0,9.961991278492136e-5
-4.565,0.0,0.0001004695563496492
-4.56,0.0,0.00010133383061351819
-4.555,0.0,0.0001022131249470686
-4.55,0.0,0.00010310784277700171
-4.545,0.0,0.0001040184022283111
-4.54,0.0,0.0001049452368019763
-4.535,0.0,0.00010588879609055256
-4.53,0.0,0.00010684954653418345
-4.525,0.0,0.00010782797221964576
-4.52,0.0,0.00010882457572545559
-4.515,0.0,0.00010983987901599697
-4.51,0.0,0.00011087442438815524
-4.505,0.0,0.0001119287754740504
-4.5,0.0,0.00011300351830374598
-4.495,0.0,0.0001140992624322519
-4.49,0.0,0.00011521664213531072
-4.485,0.0,0.00011635631767900449
-4.48,0.0,0.00011751897666852528
-4.475,0.0,0.00011870533548187437
-4.47,0.0,0.00011991614079492298
-4.465,0.0,0.000121152171204614
-4.46,0.0,0.0001224142389577334
-4.455,0.0,0.00012370319179347275
-4.45,0.0,0.00012501991490851505
-4.445,0.0,0.00012636533305429432
-4.44,0.0,0.0001277404127769358
-4.435,0.0,0.00012914616481134682
-4.43,0.0,0.00013058364664196416
-4.425,0.0,0.0001320539652438527
-4.42,0.0,0.00013355828001920068
-4.415,0.0,0.0001350978059456257
-4.41,0.0,0.00013667381695436873
-4.405,0.0,0.0001382876495581883
-4.4,0.0,0.00013994070675081178
-4.395,0.0,0.00014163446220192072
-4.39,0.0,0.0001433704647741854
-4.385,0.0,0.00014515034339157064
-4.38,0.0,0.00014697581229122501
-4.375,0.0,0.0001488486766947009
-4.37,0.0,0.00015077083893808965
-4.365,0.0,0.00015274430510508406
-4.36,0.0,0.0001547711922116977
-4.355,0.0,0.00015685373599704202
-4.35,0.0,0.0001589942993806123
